MUSCLE|ORIGIN|INSERTION|ACTION|INNERVATION|ARTERIAL SUPPLY
Semimembranosus|Superior lateral quadrant of the ischial tuberosity|Extends the thigh, flexes the knee, and also rotates the tibia medially, especially when the knee is flexed|Tibial nerve (L5, S1, S2)|Perforating branches of profunda femoris artery, inferior gluteal artery, and the superior muscular branches of popliteal artery|Posterior surface of the medial tibial condyle
Sartorius|Anterior superior iliac spine|Flexes and laterally rotates the hip joint and flexes the knee|Femoral nerve (L2, L3, L4)|Muscular branches of the femoral artery|Superior aspect of the medial surface of the tibial shaft near the tibial tuberosit
Quadratus Femoris|Lateral margin of obturator ring above ischial tuberosity|Rotates the hip laterally; also helps adduct the hip|Quadratus femoris branch of nerve to the quadratus femoris and inferior gemellus (L5, S1) (L5, S1)|Medial circumflex femoral artery, inferior gluteal artery, 1st - 4th perforating arteries, obturator artery, and some superior muscular branches of popliteal artery|Quadrate tubercle and adjacent bone of intertrochanteric crest of proximal posterior femur
Popliteus|Anterior part of the popliteal groove on lateral surface of lateral femoral condyle|Rotates knee medially and flexes the leg on the thigh|Tibial nerve (L4, L5, S1) (L4, L5, S1)|Medial inferior genicular branch of popliteal artery and muscular branch of posterior tibial artery|Posterior surface of tibia in a fan-like fashion, just superior to the popliteal line
Tibialis Anterior|Lateral condyle of tibia, proximal 1/2 - 2/3 or lateral surface of tibial shaft, interosseous membrane, and the deep surface of the fascia cruris|Dorsiflexor of ankle and invertor of foot|Deep peroneal nerve (L4, L5, S1) (L4, L5, S1)|Anterior tibial artery|Medial and plantar surfaces of 1st cuneiform and on base of first metatarsal
Soleus|Posterior aspect of fibular head, upper 1/4 - 1/3 of posterior surface of fibula, middle 1/3 of medial border of tibial shaft, and from posterior surface of a tendinous arch spanning the two sites of bone origin|Powerful plantar flexor of ankle|Tibial nerve (S1, S2) (S1, S2)|Posterior tibial, peroneal, and sural arteries|Eventually unites with the gastrocnemius aponeurosis to form the Achilles tendon, inserting on the middle 1/3 of the posterior calcaneal surface
Vastus Lateralis|Superior portion of intertrochanteric line, anterior and inferior borders of greater trochanter, superior portion of lateral lip of linea aspera, and lateral portion of gluteal tuberosity of femur|Extends the knee|Muscular branches of femoral nerve (L2, L3, L4)|Lateral circumflex femoral artery|Lateral base and border of patella; also forms the lateral patellar retinaculum and lateral side of quadriceps femoris tendon
Iliacus|Upper 2/3 of iliac fossa of ilium, internal lip of iliac crest, lateral aspect of sacrum, ventral sacroiliac ligament, and lower portion of iliolumbar ligament|Flex the torso and thigh with respect to each other|Muscular branch of femoral nerve (L1, L2, L3)|Lumbar branch of iliopsoas branch of internal iliac artery|Lesser trochanter
Tibialis Posterior|Posterior aspect of interosseous membrane, superior 2/3 of medial posterior surface of fibula, superior aspect of posterior surface of tibia, and from intermuscular septum between muscles of posterior compartment and deep transverse septum|Principal invertor of foot; also adducts foot, plantar flexes ankle, and helps to supinate the foot|Tibial nerve (L4, L5) (L4, L5)|Muscular branches of sural, peroneal and posterior tibial arteries|Splits into two slips after passing inferior to plantar calcaneonavicular ligament; superficial slip inserts on the tuberosity of the navicular bone and sometimes medial cuneiform; deeper slip divides again into slips inserting on plantar surfaces of metatarsals 2 - 4 and second cuneiform
Extensor Hallucis Longus|Anterior surface of the fibula and the adjacent interosseous membrane|Extends great toe and dorsiflexes ankle|Deep peroneal nerve (L4, L5, S1) (L4, L5, S1)|Anterior tibial artery|Base and dorsal center of distal phalanx of great toe
Obturator Internus|Internal surface of obturator membrane and posterior bony margins of obturator foramen|Rotates the thigh laterally; also helps abduct the thigh when it is flexed|Nerve to the obturator internus and superior gemellus -- a branch of the sacral plexus (L5, S1) (L5, S1)|Internal pudendal and superior and inferior gluteal arteries|Medial surface of greater trochanter of femur, in common with superior and inferior gemelli
Rectus Femoris|Straight head from anterior inferior iliac spine; reflected head from groove just above acetabulum|Extends the knee|Muscular branches of femoral nerve (L2, L3, L4)|Lateral circumflex femoral artery|Base of patella to form the more central portion of the quadriceps femoris tendon
Gluteus Maximus|Posterior aspect of dorsal ilium posterior to posterior gluteal line, posterior superior iliac crest, posterior inferior aspect of sacrum and coccyx, and sacrotuberous ligament|Major extensor of hip joint, assists in laterally rotating the thigh; upper and middle third section of the muscle are abductors|Inferior gluteal nerve (L5, S1, S2) (L5, S1, S2)|Inferior and superior gluteal arteries and the first perforating branch of the profunda femoris artery|Primarily in fascia lata at the iliotibial band; also into the gluteal tuberosity on posterior femoral surface
Plantaris|Inferior aspect of lateral supracondylar line of distal femur|Plantar flexor of ankle; also flexes knee|Tibial nerve (L5, S1, S2) (L5, S1, S2)|Sural arteries|Middle 1/3 of the posterior calcaneal surface, just medial to Achilles tendon
Gluteus Minimus|Dorsal ilium between inferior and anterior gluteal lines; also from edge of greater sciatic notch|Abducts and medially rotates the hip joint|Superior gluteal nerve (L4, L5, S1) (L4, L5, S1)|Superior gluteal artery|Anterior surface of greater trochanter
Adductor Magnus|Inferior pubic ramus, ischial ramus, and inferolateral area of ischial tuberosity|Powerful thigh adductor; superior horizontal fibers also help flex the thigh, while vertical fibers help extend the thigh|Posterior division of obturator nerve innervates most of the adductor magnus; vertical or hamstring portion innervated by tibial nerve (L2, L3, L4)|Medial circumflex femoral artery, inferior gluteal artery, 1st - 4th perforating arteries, obturator artery, and some superior muscular branches of popliteal artery|Gluteal tuberosity of femur, medial lip of linea aspera, medial supracondylar ridge, and adductor tubercle
